Series_Title,IMDB_Rating,Released_Year,Overview,Genre,Actors
Okuribito,8.1,2008,A newly unemployed cellist takes a job preparing the dead for funerals.,"Drama, Music",Masahiro Motoki Ryôko Hirosue Tsutomu Yamazaki Kazuko Yoshiyuki
Hachi: A Dog's Tale,8.1,2009,A college professor bonds with an abandoned dog he takes into his home.,"Biography, Drama, Family",Richard Gere Joan Allen Cary-Hiroyuki Tagawa Sarah Roemer
Mary and Max,8.1,2009,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.","Animation, Comedy, Drama",Toni Collette Philip Seymour Hoffman Eric Bana Barry Humphries
How to Train Your Dragon,8.1,2010,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Animation, Action, Adventure",Chris Sanders Jay Baruchel Gerard Butler Christopher Mintz-Plasse
Into the Wild,8.1,2007,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.","Adventure, Biography, Drama",Emile Hirsch Vince Vaughn Catherine Keener Marcia Gay Harden
No Country for Old Men,8.1,2007,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"Crime, Drama, Thriller",Joel Coen Tommy Lee Jones Javier Bardem Josh Brolin
Lage Raho Munna Bhai,8.1,2006,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,"Comedy, Drama, Romance",Sanjay Dutt Arshad Warsi Vidya Balan Boman Irani
Million Dollar Baby,8.1,2004,A determined woman works with a hardened boxing trainer to become a professional.,"Drama, Sport",Hilary Swank Clint Eastwood Morgan Freeman Jay Baruchel
Hotel Rwanda,8.1,2004,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","Biography, Drama, History",Don Cheadle Sophie Okonedo Joaquin Phoenix Xolani Mali
Taegukgi hwinalrimyeo,8.1,2004,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.","Action, Drama, War",Jang Dong-Gun Won Bin Eun-ju Lee Hyeong-jin Kong
Before Sunset,8.1,2004,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","Drama, Romance",Ethan Hawke Julie Delpy Vernon Dobtcheff Louise Lemoine Torrès
Munna Bhai M.B.B.S.,8.1,2003,A gangster sets out to fulfill his father's dream of becoming a doctor.,"Comedy, Drama, Musical",Sanjay Dutt Arshad Warsi Gracy Singh Sunil Dutt
Salinui chueok,8.1,2003,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","Crime, Drama, Mystery",Kang-ho Song Kim Sang-kyung Roe-ha Kim Jae-ho Song
Dil Chahta Hai,8.1,2001,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.","Comedy, Drama, Romance",Aamir Khan Saif Ali Khan Akshaye Khanna Preity Zinta
Kill Bill: Vol. 1,8.1,2003,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Action, Crime, Drama",Uma Thurman David Carradine Daryl Hannah Michael Madsen
Finding Nemo,8.1,2003,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Animation, Adventure, Comedy",Lee Unkrich Albert Brooks Ellen DeGeneres Alexander Gould
Catch Me If You Can,8.1,2002,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","Biography, Crime, Drama",Leonardo DiCaprio Tom Hanks Christopher Walken Martin Sheen
Amores perros,8.1,2000,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.","Drama, Thriller",Emilio Echevarría Gael García Bernal Goya Toledo Álvaro Guerrero
"Monsters, Inc.",8.1,2001,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.","Animation, Adventure, Comedy",David Silverman Lee Unkrich Billy Crystal John Goodman
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",8.1,1997,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,"Animation, Action, Drama",Kazuya Tsurumaki Megumi Ogata Megumi Hayashibara Yûko Miyamura
Lagaan: Once Upon a Time in India,8.1,2001,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,"Adventure, Drama, Musical",Aamir Khan Raghuvir Yadav Gracy Singh Rachel Shelley
The Sixth Sense,8.1,1999,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,"Drama, Mystery, Thriller",Bruce Willis Haley Joel Osment Toni Collette Olivia Williams
La leggenda del pianista sull'oceano,8.1,1998,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.","Drama, Music, Romance",Tim Roth Pruitt Taylor Vince Mélanie Thierry Bill Nunn
The Truman Show,8.1,1998,An insurance salesman discovers his whole life is actually a reality TV show.,"Comedy, Drama",Jim Carrey Ed Harris Laura Linney Noah Emmerich
"Crna macka, beli macor",8.1,1998,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,"Comedy, Crime, Romance",Bajram Severdzan Srdjan 'Zika' Todorovic Branka Katic Florijan Ajdini
The Big Lebowski,8.1,1998,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","Comedy, Crime, Sport",Ethan Coen Jeff Bridges John Goodman Julianne Moore
Fa yeung nin wah,8.1,2000,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.","Drama, Romance",Tony Chiu-Wai Leung Maggie Cheung Ping Lam Siu Tung Cho 'Joe' Cheung
Trainspotting,8.1,1996,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Drama,Ewan McGregor Ewen Bremner Jonny Lee Miller Kevin McKidd
Fargo,8.1,1996,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Crime, Drama, Thriller",Ethan Coen William H. Macy Frances McDormand Steve Buscemi
Underground,8.1,1995,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.","Comedy, Drama, War",Predrag 'Miki' Manojlovic Lazar Ristovski Mirjana Jokovic Slavko Stimac
La haine,8.1,1995,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,"Crime, Drama",Vincent Cassel Hubert Koundé Saïd Taghmaoui Abdel Ahmed Ghili
Dilwale Dulhania Le Jayenge,8.1,1995,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.","Drama, Romance",Shah Rukh Khan Kajol Amrish Puri Farida Jalal
Before Sunrise,8.1,1995,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Drama, Romance",Ethan Hawke Julie Delpy Andrea Eckert Hanno Pöschl
Trois couleurs: Rouge,8.1,1994,A model discovers a retired judge is keen on invading people's privacy.,"Drama, Mystery, Romance",Irène Jacob Jean-Louis Trintignant Frédérique Feder Jean-Pierre Lorit
Chung Hing sam lam,8.1,1994,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.","Comedy, Crime, Drama",Brigitte Lin Takeshi Kaneshiro Tony Chiu-Wai Leung Faye Wong
Jurassic Park,8.1,1993,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"Action, Adventure, Sci-Fi",Sam Neill Laura Dern Jeff Goldblum Richard Attenborough
In the Name of the Father,8.1,1993,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,"Biography, Crime, Drama",Daniel Day-Lewis Pete Postlethwaite Alison Crosbie Philip King
Ba wang bie ji,8.1,1993,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,"Drama, Music, Romance",Leslie Cheung Fengyi Zhang Gong Li You Ge
Dà hóng denglong gaogao guà,8.1,1991,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.","Drama, History, Romance",Gong Li Jingwu Ma Saifei He Cuifen Cao
Dead Poets Society,8.1,1989,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,"Comedy, Drama",Robin Williams Robert Sean Leonard Ethan Hawke Josh Charles
Stand by Me,8.1,1986,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.","Adventure, Drama",Wil Wheaton River Phoenix Corey Feldman Jerry O'Connell
Platoon,8.1,1986,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.","Drama, War",Charlie Sheen Tom Berenger Willem Dafoe Keith David
"Paris, Texas",8.1,1984,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Drama,Harry Dean Stanton Nastassja Kinski Dean Stockwell Aurore Clément
Kaze no tani no Naushika,8.1,1984,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,"Animation, Adventure, Fantasy",Sumi Shimamoto Mahito Tsujimura Hisako Kyôda Gorô Naya
The Thing,8.1,1982,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Horror, Mystery, Sci-Fi",Kurt Russell Wilford Brimley Keith David Richard Masur
Pink Floyd: The Wall,8.1,1982,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,"Drama, Fantasy, Music",Bob Geldof Christine Hargreaves James Laurenson Eleanor David
Fitzcarraldo,8.1,1982,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.","Adventure, Drama",Klaus Kinski Claudia Cardinale José Lewgoy Miguel Ángel Fuentes
Fanny och Alexander,8.1,1982,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",Drama,Bertil Guve Pernilla Allwin Kristina Adolphson Börje Ahlstedt
Blade Runner,8.1,1982,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.","Action, Sci-Fi, Thriller",Harrison Ford Rutger Hauer Sean Young Edward James Olmos
The Elephant Man,8.1,1980,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.","Biography, Drama",Anthony Hopkins John Hurt Anne Bancroft John Gielgud
Life of Brian,8.1,1979,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Comedy,Graham Chapman John Cleese Michael Palin Terry Gilliam
The Deer Hunter,8.1,1978,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,"Drama, War",Robert De Niro Christopher Walken John Cazale John Savage
Rocky,8.1,1976,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,"Drama, Sport",Sylvester Stallone Talia Shire Burt Young Carl Weathers
Network,8.1,1976,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,Drama,Faye Dunaway William Holden Peter Finch Robert Duvall
Barry Lyndon,8.1,1975,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"Adventure, Drama, History",Ryan O'Neal Marisa Berenson Patrick Magee Hardy Krüger
Zerkalo,8.1,1975,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.","Biography, Drama",Margarita Terekhova Filipp Yankovskiy Ignat Daniltsev Oleg Yankovskiy
Chinatown,8.1,1974,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.","Drama, Mystery, Thriller",Jack Nicholson Faye Dunaway John Huston Perry Lopez
Paper Moon,8.1,1973,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.","Comedy, Crime, Drama",Ryan O'Neal Tatum O'Neal Madeline Kahn John Hillerman
Viskningar och rop,8.1,1972,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",Drama,Harriet Andersson Liv Ullmann Kari Sylwan Ingrid Thulin
Solaris,8.1,1972,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,"Drama, Mystery, Sci-Fi",Natalya Bondarchuk Donatas Banionis Jüri Järvet Vladislav Dvorzhetskiy
Le samouraï,8.1,1967,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,"Crime, Drama, Mystery",Alain Delon François Périer Nathalie Delon Cathy Rosier
Cool Hand Luke,8.1,1967,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Crime, Drama",Paul Newman George Kennedy Strother Martin J.D. Cannon
Persona,8.1,1966,A nurse is put in charge of a mute actress and finds that their personae are melding together.,"Drama, Thriller",Bibi Andersson Liv Ullmann Margaretha Krook Gunnar Björnstrand
Andrei Rublev,8.1,1966,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.","Biography, Drama, History",Anatoliy Solonitsyn Ivan Lapikov Nikolay Grinko Nikolay Sergeev
La battaglia di Algeri,8.1,1966,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","Drama, War",Brahim Hadjadj Jean Martin Yacef Saadi Samia Kerbash
El ángel exterminador,8.1,1962,The guests at an upper-class dinner party find themselves unable to leave.,"Drama, Fantasy",Silvia Pinal Jacqueline Andere Enrique Rambal José Baviera
What Ever Happened to Baby Jane?,8.1,1962,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,"Drama, Horror, Thriller",Bette Davis Joan Crawford Victor Buono Wesley Addy
Sanjuro,8.1,1962,"A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.","Action, Comedy, Crime",Toshirô Mifune Tatsuya Nakadai Keiju Kobayashi Yûnosuke Itô
The Man Who Shot Liberty Valance,8.1,1962,A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,"Drama, Western",James Stewart John Wayne Vera Miles Lee Marvin
Ivanovo detstvo,8.1,1962,"In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.","Drama, War",Eduard Abalov Nikolay Burlyaev Valentin Zubkov Evgeniy Zharikov
Jungfrukällan,8.1,1960,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",Drama,Max von Sydow Birgitta Valberg Gunnel Lindblom Birgitta Pettersson
Inherit the Wind,8.1,1960,"Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution.","Biography, Drama, History",Spencer Tracy Fredric March Gene Kelly Dick York
Les quatre cents coups,8.1,1959,"A young boy, left without attention, delves into a life of petty crime.","Crime, Drama",Jean-Pierre Léaud Albert Rémy Claire Maurier Guy Decomble
Ben-Hur,8.1,1959,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.","Adventure, Drama, History",Charlton Heston Jack Hawkins Stephen Boyd Haya Harareet
Kakushi-toride no san-akunin,8.1,1958,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.","Adventure, Drama",Toshirô Mifune Misa Uehara Minoru Chiaki Kamatari Fujiwara
Le notti di Cabiria,8.1,1957,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Drama,Giulietta Masina François Périer Franca Marzi Dorian Gray
Kumonosu-jô,8.1,1957,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.","Drama, History",Toshirô Mifune Minoru Chiaki Isuzu Yamada Takashi Shimura
The Bridge on the River Kwai,8.1,1957,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.","Adventure, Drama, War",William Holden Alec Guinness Jack Hawkins Sessue Hayakawa
On the Waterfront,8.1,1954,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,"Crime, Drama, Thriller",Marlon Brando Karl Malden Lee J. Cobb Rod Steiger
Le salaire de la peur,8.1,1953,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","Adventure, Drama, Thriller",Yves Montand Charles Vanel Peter van Eyck Folco Lulli
Ace in the Hole,8.1,1951,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.","Drama, Film-Noir",Kirk Douglas Jan Sterling Robert Arthur Porter Hall
White Heat,8.1,1949,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,"Action, Crime, Drama",James Cagney Virginia Mayo Edmond O'Brien Margaret Wycherly
The Third Man,8.1,1949,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","Film-Noir, Mystery, Thriller",Orson Welles Joseph Cotten Alida Valli Trevor Howard
The Red Shoes,8.1,1948,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,"Drama, Music, Romance",Emeric Pressburger Anton Walbrook Marius Goring Moira Shearer
The Shop Around the Corner,8.1,1940,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.","Comedy, Drama, Romance",Margaret Sullavan James Stewart Frank Morgan Joseph Schildkraut
Rebecca,8.1,1940,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"Drama, Mystery, Romance",Laurence Olivier Joan Fontaine George Sanders Judith Anderson
Mr. Smith Goes to Washington,8.1,1939,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.","Comedy, Drama",James Stewart Jean Arthur Claude Rains Edward Arnold
Gone with the Wind,8.1,1939,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,"Drama, History, Romance",George Cukor Sam Wood Clark Gable Vivien Leigh
La Grande Illusion,8.1,1937,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.","Drama, War",Jean Gabin Dita Parlo Pierre Fresnay Erich von Stroheim
It Happened One Night,8.1,1934,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.","Comedy, Romance",Clark Gable Claudette Colbert Walter Connolly Roscoe Karns
La passion de Jeanne d'Arc,8.1,1928,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","Biography, Drama, History",Maria Falconetti Eugene Silvain André Berley Maurice Schutz
The Circus,8.1,1928,The Tramp finds work and the girl of his dreams at a circus.,"Comedy, Romance",Charles Chaplin Merna Kennedy Al Ernest Garcia Harry Crocker
Sunrise: A Song of Two Humans,8.1,1927,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,"Drama, Romance",George O'Brien Janet Gaynor Margaret Livingston Bodil Rosing
The General,8.1,1926,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.","Action, Adventure, Comedy",Buster Keaton Buster Keaton Marion Mack Glen Cavender
Das Cabinet des Dr. Caligari,8.1,1920,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.","Fantasy, Horror, Mystery",Werner Krauss Conrad Veidt Friedrich Feher Lil Dagover
Badhaai ho,8.0,2018,A man is embarrassed when he finds out his mother is pregnant.,"Comedy, Drama",Ayushmann Khurrana Neena Gupta Gajraj Rao Sanya Malhotra
Togo,8.0,2019,"The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.","Adventure, Biography, Drama",Willem Dafoe Julianne Nicholson Christopher Heyerdahl Richard Dormer
Airlift,8.0,2016,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.","Drama, History",Akshay Kumar Nimrat Kaur Kumud Mishra Prakash Belawadi
Bajrangi Bhaijaan,8.0,2015,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,"Action, Adventure, Comedy",Salman Khan Harshaali Malhotra Nawazuddin Siddiqui Kareena Kapoor
Baby,8.0,2015,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.","Action, Crime, Thriller",Akshay Kumar Danny Denzongpa Rana Daggubati Taapsee Pannu
La La Land,8.0,2016,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.","Comedy, Drama, Music",Ryan Gosling Emma Stone Rosemarie DeWitt J.K. Simmons
Lion,8.0,2016,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.","Biography, Drama",Dev Patel Nicole Kidman Rooney Mara Sunny Pawar
The Martian,8.0,2015,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.","Adventure, Drama, Sci-Fi",Matt Damon Jessica Chastain Kristen Wiig Kate Mara
Zootopia,8.0,2016,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","Animation, Adventure, Comedy",Rich Moore Jared Bush Ginnifer Goodwin Jason Bateman
Bãhubali: The Beginning,8.0,2015,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.","Action, Drama",Prabhas Rana Daggubati Ramya Krishnan Sathyaraj
Kaguyahime no monogatari,8.0,2013,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.","Animation, Adventure, Drama",Chloë Grace Moretz James Caan Mary Steenburgen James Marsden
Wonder,8.0,2017,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.","Drama, Family",Jacob Tremblay Owen Wilson Izabela Vidovic Julia Roberts
Gully Boy,8.0,2019,A coming-of-age story based on the lives of street rappers in Mumbai.,"Drama, Music, Romance",Vijay Varma Nakul Roshan Sahdev Ranveer Singh Vijay Raaz
Special Chabbis,8.0,2013,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,"Crime, Drama, Thriller",Akshay Kumar Anupam Kher Manoj Bajpayee Jimmy Sheirgill
Short Term 12,8.0,2013,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,Drama,Brie Larson Frantz Turner John Gallagher Jr. Kaitlyn Dever
Serbuan maut 2: Berandal,8.0,2014,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.","Action, Crime, Thriller",Iko Uwais Yayan Ruhian Arifin Putra Oka Antara
The Imitation Game,8.0,2014,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.","Biography, Drama, Thriller",Benedict Cumberbatch Keira Knightley Matthew Goode Allen Leech
Guardians of the Galaxy,8.0,2014,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,"Action, Adventure, Comedy",Chris Pratt Vin Diesel Bradley Cooper Zoe Saldana
Blade Runner 2049,8.0,2017,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.","Action, Drama, Mystery",Harrison Ford Ryan Gosling Ana de Armas Dave Bautista
Her,8.0,2013,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.","Drama, Romance, Sci-Fi",Joaquin Phoenix Amy Adams Scarlett Johansson Rooney Mara
Bohemian Rhapsody,8.0,2018,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).","Biography, Drama, Music",Rami Malek Lucy Boynton Gwilym Lee Ben Hardy
The Revenant,8.0,2015,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,"Action, Adventure, Drama",Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson
The Perks of Being a Wallflower,8.0,2012,An introvert freshman is taken under the wings of two seniors who welcome him to the real world,"Drama, Romance",Logan Lerman Emma Watson Ezra Miller Paul Rudd
Tropa de Elite 2: O Inimigo Agora é Outro,8.0,2010,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.","Action, Crime, Drama",Wagner Moura Irandhir Santos André Ramiro Milhem Cortaz
The King's Speech,8.0,2010,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.","Biography, Drama, History",Colin Firth Geoffrey Rush Helena Bonham Carter Derek Jacobi
The Help,8.0,2011,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Drama,Emma Stone Viola Davis Octavia Spencer Bryce Dallas Howard
Deadpool,8.0,2016,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.","Action, Adventure, Comedy",Ryan Reynolds Morena Baccarin T.J. Miller Ed Skrein
Darbareye Elly,8.0,2009,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,"Drama, Mystery",Golshifteh Farahani Shahab Hosseini Taraneh Alidoosti Merila Zare'i
Dev.D,8.0,2009,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?","Drama, Romance",Abhay Deol Mahie Gill Kalki Koechlin Dibyendu Bhattacharya
Yip Man,8.0,2008,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.","Action, Biography, Drama",Donnie Yen Simon Yam Siu-Wong Fan Ka Tung Lam
My Name Is Khan,8.0,2010,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Drama,Shah Rukh Khan Kajol Sheetal Menon Katie A. Keane
Nefes: Vatan Sagolsun,8.0,2009,Story of 40-man Turkish task force who must defend a relay station.,"Action, Drama, Thriller",Erdem Can Mete Horozoglu Ilker Kizmaz Baris Bagci
Slumdog Millionaire,8.0,2008,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".","Drama, Romance",Loveleen Tandan Dev Patel Freida Pinto Saurabh Shukla
Black Swan,8.0,2010,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".","Drama, Thriller",Natalie Portman Mila Kunis Vincent Cassel Winona Ryder
