Series_Title,IMDB_Rating,Released_Year,Overview,Genre,Actors
Se7en,8.6,1995,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Crime, Drama, Mystery",Morgan Freeman Brad Pitt Kevin Spacey Andrew Kevin Walker
The Silence of the Lambs,8.6,1991,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Crime, Drama, Thriller",Jodie Foster Anthony Hopkins Lawrence A. Bonney Kasi Lemmons
Star Wars,8.6,1977,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","Action, Adventure, Fantasy",Mark Hamill Harrison Ford Carrie Fisher Alec Guinness
Seppuku,8.6,1962,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","Action, Drama, Mystery",Tatsuya Nakadai Akira Ishihama Shima Iwashita Tetsurô Tanba
Shichinin no samurai,8.6,1954,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,"Action, Adventure, Drama",Toshirô Mifune Takashi Shimura Keiko Tsushima Yukiko Shimazaki
It's a Wonderful Life,8.6,1946,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"Drama, Family, Fantasy",James Stewart Donna Reed Lionel Barrymore Thomas Mitchell
Joker,8.5,2019,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.","Crime, Drama, Thriller",Joaquin Phoenix Robert De Niro Zazie Beetz Frances Conroy
Whiplash,8.5,2014,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"Drama, Music",Miles Teller J.K. Simmons Melissa Benoist Paul Reiser
The Intouchables,8.5,2011,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Biography, Comedy, Drama",Éric Toledano François Cluzet Omar Sy Anne Le Ny
The Prestige,8.5,2006,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","Drama, Mystery, Sci-Fi",Christian Bale Hugh Jackman Scarlett Johansson Michael Caine
The Departed,8.5,2006,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"Crime, Drama, Thriller",Leonardo DiCaprio Matt Damon Jack Nicholson Mark Wahlberg
The Pianist,8.5,2002,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"Biography, Drama, Music",Adrien Brody Thomas Kretschmann Frank Finlay Emilia Fox
Gladiator,8.5,2000,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Action, Adventure, Drama",Russell Crowe Joaquin Phoenix Connie Nielsen Oliver Reed
American History X,8.5,1998,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Drama,Edward Norton Edward Furlong Beverly D'Angelo Jennifer Lien
The Usual Suspects,8.5,1995,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","Crime, Mystery, Thriller",Kevin Spacey Gabriel Byrne Chazz Palminteri Stephen Baldwin
Léon,8.5,1994,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","Action, Crime, Drama",Jean Reno Gary Oldman Natalie Portman Danny Aiello
The Lion King,8.5,1994,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Animation, Adventure, Drama",Rob Minkoff Matthew Broderick Jeremy Irons James Earl Jones
Terminator 2: Judgment Day,8.5,1991,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.","Action, Sci-Fi",Arnold Schwarzenegger Linda Hamilton Edward Furlong Robert Patrick
Nuovo Cinema Paradiso,8.5,1988,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"Drama, Romance",Philippe Noiret Enzo Cannavale Antonella Attili Isa Danieli
Hotaru no haka,8.5,1988,A young boy and his little sister struggle to survive in Japan during World War II.,"Animation, Drama, War",Tsutomu Tatsumi Ayano Shiraishi Akemi Yamaguchi Yoshiko Shinohara
Back to the Future,8.5,1985,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.","Adventure, Comedy, Sci-Fi",Michael J. Fox Christopher Lloyd Lea Thompson Crispin Glover
Once Upon a Time in the West,8.5,1968,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Western,Henry Fonda Charles Bronson Claudia Cardinale Jason Robards
Psycho,8.5,1960,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.","Horror, Mystery, Thriller",Anthony Perkins Janet Leigh Vera Miles John Gavin
Casablanca,8.5,1942,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,"Drama, Romance, War",Humphrey Bogart Ingrid Bergman Paul Henreid Claude Rains
Modern Times,8.5,1936,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"Comedy, Drama, Family",Charles Chaplin Paulette Goddard Henry Bergman Tiny Sandford
